序号,功能模块,分类及场景,功能价值介绍
1,多维度目标管理,场景及价值,支持多维度、自上而下设置目标值、目标责任到人/部门、智能分析目标完成情况，保障目标实现。
2,,目标管理员角色,该角色可见所有目标规则和目标值，方便统一管理
3,,目标规则设置,目标规则就是在企业进行目标管理时使用的具体的考核指标要求，支持多维度定义【什么考核对象/考核维度】在【什么时间】完成【什么指标】的规则。
4,,目标值设置,具体定义所设置多个考核维度的目标值，支持向上汇总和向下拆分灵活设置目标值，支持按照时间自动汇总目标值，支持层级字段的展示方式。
6,,目标完成统计图配置,自定义目标统计图：增加预设的目标分析统计图和模版，可以使用多个主题分析目标达成情况。
7,,目标完成情况查看,支持查看各个目标规则一键生成的对应驾驶舱，「目标完成情况」除了有独立的菜单入口，在数据驾驶舱里也可见
8,,目标规则支持多时区、业务发生时区,可按照不同的时区考核指标。同时支持按照业务实际发生的时区考核指标。
9,报表,场景及价值,报表是企业经营结果的具体呈现，企业可以根据自身需求自定义报表。报表可以查看企业随时间累积的数据，可以按不同的主题组合这些数据，查看详细的统计结果和数据明细，从而帮助您做出明智的决定。
10,,预置模板,将常用的分析场景预置为了模板，企业可基于模板进一步按需调整，快速新建报表，比如企业需要统计线索转客户的情况，可直接基于“线索转客户统计”模板新建报表。
11,,自选分析业务模块,自由选择需要分析的对象，支持所有的预设对象和自定义对象，包括：审批流、业务流程、流程阶段 这些流程相关的数据。
12,,（空白模板）,
13,,普通报表,常见的明细式报表、分组式报表，可同时查看明细数据和统计数据，支持配置多个分组字段、多种统计方式
14,,普通报表配置,普通报表支持显示小计文案、横向小计（底部/顶部，以及指定展示某一层的分组小计）、横向总计（底部/顶部）、列宽（自适应充满页面/自适应不充满页面）、行高（舒适/紧凑）、表头显示（默认、自动折行、自动截取）、表体显示（默认、自动折行、自动截取）、表格主题（分割线、斑马线、分割线和斑马线）、字号（12/13/14/15/16）、拖拽自动更新配置
15,,交叉报表,交叉表是由行分组、列分组、统计字段组成的多维分组汇总的表格，解决同时从多个维度统计数据的场景，比如统计各部门、2019各季度的销量情况，就是部门与日期的交叉分析。
16,,交叉报表配置,交叉报表支持文本折行显示、横向总计（底部/顶部）、横向小计、纵向总计、纵向小计、列宽（自适应充满页面/自适应不充满页面）、行高（舒适/紧凑）
17,,分组和统计,对字段设置分组，会将值相同的数据合并展示，通常配合统计一起使用，支持多种统计方式，包括计数/唯一计数/求和/最大值/最小值/平均值/最早/最晚
18,,统计列排序,除了常规分组字段/明细字段的排序，还支持统计列排序，即对统计后的值进一步排序，排序规则为按照分组层级从大层级到小层级逐步排序
19,,主属部门下钻,当使用主属部门字段作为分组字段时，可以按照组织架构层级下钻，默认从当前用户有权限的最高层级部门开始展示，当需要固定查看某些部门的时候，可配合部门的筛选一起使用
20,,筛选,除了支持跟业务一致的场景(预设)的筛选，还支持日期、枚举、文本、员工/部门等各种字段类型的筛选，满足丰富的筛选场景，包括数据范围筛选、表头字段过滤
21,,主属性显示字段,报表和交叉表支持设置了显示字段的主属性被查找关联时按显示字段显示
22,,链接到CRM详情页,点击报表中各业务对象主属性都可以链接到该对象对应的详情页，如“客户”下的“客户名称”，“销售订单”下的“销售订单编号”
23,,共享,转发：可通过企信转发报表，灵活的协同操作，且其他用户看到的是自己权限范围内的数据
24,,,分享：可通过分享的方式，将报表以一张Excel表的格式加入到跟进记录里，可见此跟进记录的用户即可见此Excel表，查看到的数据为分享的那一时间节点，分享人可见的数据
25,,报表导出,导出的数据为当前报表 在场景、数据范围筛选的结果数据，即跟报表查询的数据结果一致
